Freq	VFDB
0.4	VFG049147(gb|YP_006635473.1) (clbA) colibactin biosynthesis phosphopantetheinyl transferase ClbA [Colibactin (VF0573)] [Klebsiella pneumoniae subsp. pneumoniae 1084]
0.4	VFG044165(gb|NP_752609) (entS) enterobactin exporter, iron-regulated [enterobactin (IA019)] [Escherichia coli CFT073]
0.4	VFG035206(gi:117625048) (APECO1_3711) hypothetical protein [SCI-I T6SS (CVF734)] [Escherichia coli APEC O1]
0.4	VFG000933(gb|NP_752613) (entB) isochorismatase [Enterobactin (VF0228)] [Escherichia coli CFT073]
0.4	VFG049157(gb|YP_006635483.1) (clbK) colibactin hybrid non-ribosomal peptide synthetase/type I polyketide synthase ClbK  [Colibactin (VF0573)] [Klebsiella pneumoniae subsp. pneumoniae 1084]
0.4	VFG001731(gi:26249445) (c3610) bifunctional enterobactin receptor/adhesin protein [IrgA homolog adhesin (Iha) (AI324)] [Escherichia coli CFT073]
0.4	VFG049152(gb|YP_006635478.1) (clbF) colibactin biosynthesis dehydrogenase ClbF [Colibactin (VF0573)] [Klebsiella pneumoniae subsp. pneumoniae 1084]
0.4	VFG049150(gb|YP_006635476.1) (clbD) colibactin biosynthesis dehydrogenase ClbD [Colibactin (VF0573)] [Klebsiella pneumoniae subsp. pneumoniae 1084]
0.4	VFG049149(gb|YP_006635475.1) (clbC) colibactin polyketide synthase ClbC [Colibactin (VF0573)] [Klebsiella pneumoniae subsp. pneumoniae 1084]
0.4	VFG046011 (hofC) protein transport protein HofC-like protein [Hemorrhagic E.coli pilus (HCP) (CVF825)] [Escherichia coli VR50]
0.4	VFG045464(gb|NP_754290) (tcpC) Tir domain containing protein TcpC [TcpC (VF0413)] [Escherichia coli CFT073]
0.4	VFG036084(gi:91206275) (senB) enterotoxin TieB protein [Enterotoxin SenB/TieB (CVF755)] [Escherichia coli UTI89]
0.4	VFG035350(gi:386600827) (ECOK1_3214) ImpA domain-containing protein [SCI-I T6SS (CVF734)] [Escherichia coli O18:K1:H7 str. IHE3034]
0.4	VFG035271(gi:117625060) (APECO1_3698) hypothetical protein [SCI-I T6SS (CVF734)] [Escherichia coli APEC O1]
0.4	VFG035121(gi:26249222) (c3387) hypothetical protein [SCI-I T6SS (CVF734)] [Escherichia coli CFT073]
0.3	VFG049163(gb|YP_006635489.1) (clbQ) colibactin biosynthesis thioesterase ClbQ  [Colibactin (VF0573)] [Klebsiella pneumoniae subsp. pneumoniae 1084]
0.3	VFG043695(gi:112292720) (clbA) putative 4'-phosphopantetheinyl transferase [colibactin (TX033)] [Escherichia coli O18:K1:H7 str. IHE3034]
0.3	VFG042592(gi:46487741) (stgC) StgC [Stg fimbriae (AI047)] [Escherichia coli O78:K80:H9 chi7122]
0.3	VFG036076(gi:386637465) (usp) putative S-type colicin [Colicin-like Usp (CVF754)] [Escherichia coli ABU 83972]
0.3	VFG035587(gi:117622506) (aec26) hypothetical protein [AEC (SS184)] [Escherichia coli APEC O1]
0.3	VFG012353(gi:110644632) (tia) OmpA family protein [Tia/Hek (CVF430)] [Escherichia coli 536]
0.3	VFG001448(gb|AAA21682) (kpsD) KpsD [K1 capsule (VF0239)] [Escherichia coli O18:K1:H7 str. RS218]
0.3	VFG000934(gi:26246575) (entA) 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [Enterobactin (VF0228)] [Escherichia coli CFT073]
0.3	VFG049159(gb|YP_006635485.1) (clbM) precolibactin export MATE transporter ClbM [Colibactin (VF0573)] [Klebsiella pneumoniae subsp. pneumoniae 1084]
0.3	VFG012501(gb|NP_753165) (iroE) esterase [Salmochelin (IA013)] [Escherichia coli CFT073]
0.3	VFG001450(gb|AAA24046) (kpsM) KpsM [K1 capsule (VF0239)] [Escherichia coli O18:K1:H7 str. RS218]
0.3	VFG046101 (senB) Enterotoxin TieB protein [Enterotoxin SenB/TieB (CVF755)] [Escherichia coli VR50]
0.3	VFG035586(gi:110640438) (aec26) hypothetical protein [ACE T6SS (CVF736)] [Escherichia coli 536]
0.3	VFG035259(gi:386640307) (ECABU_c31020) ImpA-like protein [SCI-I T6SS (CVF734)] [Escherichia coli ABU 83972]
0.3	VFG012513(gb|NP_753168) (iroB) glucosyltransferase IroB [Salmochelin (IA013)] [Escherichia coli CFT073]
0.3	VFG049156(gb|YP_006635482.1) (clbJ) colibactin non-ribosomal peptide synthetase ClbJ [Colibactin (VF0573)] [Klebsiella pneumoniae subsp. pneumoniae 1084]
0.3	VFG041003(gi:284924301) (aaiW) transposase [AAI/SCI-II (SS182)] [Escherichia coli O44:H18 042]
0.3	VFG035689(gi:117622510) (aec22) hypothetical protein [AEC (SS184)] [Escherichia coli APEC O1]
0.3	VFG033892(gi:386641997) (hlyA) C-terminal part of hemolysin HlyA [Alpha-hemolysin (CVF453)] [Escherichia coli ABU 83972]
0.3	VFG000927(gi:26246566) (fepE) ferric enterobactin transport protein FepE [Enterobactin (VF0228)] [Escherichia coli CFT073]
0.2	VFG049162(gb|YP_006635488.1) (clbP) precolibactin peptidase ClbP [Colibactin (VF0573)] [Klebsiella pneumoniae subsp. pneumoniae 1084]
0.2	VFG044067(gi:218534572) (pECS88_0104) Colicin-Ia [colicin Ia (TX382)] [Escherichia coli O45:K1:H7 str. S88]
0.2	VFG035633(gi:222155044) (aec25) hypothetical protein [ACE T6SS (CVF736)] [Escherichia coli O83:H1 str. LF82]
0.2	VFG035629(gi:386612385) (aec25) hypothetical protein [ACE T6SS (CVF736)] [Escherichia coli UMNK88]
0.2	VFG035613(gi:117622507) (aec25) hypothetical protein [AEC (SS184)] [Escherichia coli APEC O1]
0.2	VFG035211(gi:386640301) (ECABU_c30960) VGR-related protein [SCI-I T6SS (CVF734)] [Escherichia coli ABU 83972]
0.2	VFG033932(gi:386638510) (iroB) putative glucosyltransferase [Salmochelin siderophore (CVF456)] [Escherichia coli ABU 83972]
0.2	VFG018204(gi:117622567) (ecpA) Hypothetical protein yagZ precursor [E. coli common pilus (ECP) (CVF625)] [Escherichia coli APEC O1]
0.2	VFG012522(gi:88770304) (iucC) IucC [Aerobactin siderophore (CVF457)] [Escherichia coli APEC O1]
0.2	VFG012515(gi:91210151) (iroB) putative glucosyltransferase [Salmochelin siderophore (CVF456)] [Escherichia coli UTI89]
0.2	VFG012486(gi:91213874) (hlyA) hemolysin A [Alpha-hemolysin (CVF453)] [Escherichia coli UTI89]
0.2	VFG001445(gi:150860) (traJ) TraJ [TraJ (VF0241)] [Escherichia coli]
0.2	VFG000916(gb|NP_756169) (chuS) heme oxygenase ChuS [Chu (VF0227)] [Escherichia coli CFT073]
0.2	VFG042591(gi:46487740) (stgB) StgB [Stg fimbriae (AI047)] [Escherichia coli O78:K80:H9 chi7122]
0.2	VFG035970(gi:386638926) (upaH) EntS/YbdA MFS transporter [UpaH, AIDA-I type (CVF741)] [Escherichia coli ABU 83972]
0.2	VFG035810(gi:110640447) (aec16) hemolysin co-regulated protein [ACE T6SS (CVF736)] [Escherichia coli 536]
0.2	VFG035237(gi:26249233) (c3398) hypothetical protein [SCI-I T6SS (CVF734)] [Escherichia coli CFT073]
0.2	VFG035204(gi:26249228) (c3393) hypothetical protein [SCI-I T6SS (CVF734)] [Escherichia coli CFT073]
0.2	VFG035187(gi:117625047) (APECO1_3712) ATPase [SCI-I T6SS (CVF734)] [Escherichia coli APEC O1]
0.2	VFG035185(gi:26249227) (c3392) ClpB protein [SCI-I T6SS (CVF734)] [Escherichia coli CFT073]
0.2	VFG034719(gi:387614643) (ibeC) hypothetical protein [Invasion of brain endothelial cells (Ibes) (CVF429)] [Escherichia coli O78:H11:K80 str. H10407]
0.2	VFG033884(gi:386641996) (hlyB) hemolysin secretion protein HlyB [Alpha-hemolysin (CVF453)] [Escherichia coli ABU 83972]
0.2	VFG033369(gi:387615053) (fimH) minor component of type 1 fimbriae [Type I fimbriae (CVF426)] [Escherichia coli O78:H11:K80 str. H10407]
0.2	VFG012526(gi:88770306) (iucA) IucA [Aerobactin siderophore (CVF457)] [Escherichia coli APEC O1]
0.2	VFG012480(gi:91213873) (hlyB) hemolysin secretion protein HlyB [Alpha-hemolysin (CVF453)] [Escherichia coli UTI89]
0.2	VFG000876(gb|NP_757244) (fimD) Outer membrane usher protein fimD precursor [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073]
0.2	VFG000871(gb|NP_757239) (fimB) Type 1 fimbriae Regulatory protein fimB [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073]
0.2	VFG043979(gi:145567) (cba) colicin B [colicin B (TX380)] [Escherichia coli]
0.2	VFG040949(gi:157157609) (gspJ) general secretion pathway protein J [gsp (SS206)] [Escherichia coli E24377A]
0.2	VFG035944(gi:117625880) (upaG/ehaG) autotransporter/adhesin [UpaG adhesin, trimeric AT (CVF740)] [Escherichia coli APEC O1]
0.2	VFG035866(gi:91209303) (UTI89_C0255) hypothetical protein [ACE T6SS (CVF736)] [Escherichia coli UTI89]
0.2	VFG035252(gi:26249234) (c3399) hypothetical protein [SCI-I T6SS (CVF734)] [Escherichia coli CFT073]
0.2	VFG035144(gi:386640297) (ECABU_c30910) hypothetical protein [SCI-I T6SS (CVF734)] [Escherichia coli ABU 83972]
0.2	VFG035112(gi:386640295) (ECABU_c30890) hypothetical protein [SCI-I T6SS (CVF734)] [Escherichia coli ABU 83972]
0.2	VFG035102(gi:26249221) (c3386) hypothetical protein [SCI-I T6SS (CVF734)] [Escherichia coli CFT073]
0.2	VFG034676(gi:157156221) (ibeB) copper/silver efflux system outer membrane protein CusC [Invasion of brain endothelial cells (Ibes) (CVF429)] [Escherichia coli E24377A]
0.2	VFG034005(gi:218534490) (iucA) Aerobactin siderophore biosynthesis protein IucA [Aerobactin siderophore (CVF457)] [Escherichia coli O45:K1:H7 str. S88]
0.2	VFG033934(gi:218534592) (iroB) IroB, putative glucosyltransferase [Salmochelin siderophore (CVF456)] [Escherichia coli O45:K1:H7 str. S88]
0.2	VFG033239(gi:386632331) (fimI) fimbrin-like protein fimI [Type I fimbriae (CVF426)] [Escherichia coli str. clone D i2]
0.2	VFG018207(gi:26246301) (ecpB) Hypothetical protein yagY precursor [E. coli common pilus (ECP) (CVF625)] [Escherichia coli CFT073]
0.2	VFG012595(gi:91213001) (chuS) putative heme/hemoglobin transport protein [Hemin uptake (CVF460)] [Escherichia coli UTI89]
0.2	VFG012474(gi:91213872) (hlyD) hemolysin D [Alpha-hemolysin (CVF453)] [Escherichia coli UTI89]
0.2	VFG012459(gi:26247147) (agn43) Antigen 43 precursor [Antigen 43, AIDA-I type (CVF451)] [Escherichia coli CFT073]
0.2	VFG012295(gi:110644758) (fimC) chaperone protein FimC precursor [Type I fimbriae (CVF426)] [Escherichia coli 536]
0.2	VFG000873(gb|NP_757241) (fimA) Type-1 fimbrial protein, A chain precursor [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073]
0.2	VFG045992 (hofB) hypothetical protein [Hemorrhagic E.coli pilus (HCP) (CVF825)] [Escherichia coli CFT073]
0.2	VFG045825 (upaC) autotransporter protein UpaC [EhaB, AIDA-I type (CVF744)] [Escherichia coli O25b:H4-ST131]
0.2	VFG042590(gi:46487739) (stgA) StgA [Stg fimbriae (AI047)] [Escherichia coli O78:K80:H9 chi7122]
0.2	VFG042568(gi:26247120) (focY) hypothetical protein [F1C pili (AI043)] [Escherichia coli CFT073]
0.2	VFG042389(gb|YP_540131) (sfaY) regulatory protein SfaY [S fimbriae (VF0222)] [Escherichia coli UTI89]
0.2	VFG035971(gi:386629132) (upaH) putative autotransporter/adhesin [UpaH, AIDA-I type (CVF741)] [Escherichia coli str. clone D i2]
0.2	VFG035836(gi:117622516) (aec15) hypothetical protein [AEC (SS184)] [Escherichia coli APEC O1]
0.2	VFG035774(gi:387605700) (aec18) putative type VI secretion system protein [ACE T6SS (CVF736)] [Escherichia coli O44:H18 042]
0.2	VFG035713(gi:117622511) (APECO1_1761) hypothetical protein [AEC (SS184)] [Escherichia coli APEC O1]
0.2	VFG034214(gi:218534497) (sitB) SitB protein, iron transport protein, ATP-binding component [Iron/managanease transport (CVF459)] [Escherichia coli O45:K1:H7 str. S88]
0.2	VFG033903(gi:386641993) (cnf1) cytotoxic necrotizing factor 1 [Cytotoxic necrotizing factor 1 (CVF454)] [Escherichia coli ABU 83972]
0.2	VFG012625(gi:91213010) (chuY) hypothetical protein [Hemin uptake (CVF460)] [Escherichia coli UTI89]
0.2	VFG012586(gi:26247465) (sitD) SitD protein [Iron/managanease transport (CVF459)] [Escherichia coli CFT073]
0.2	VFG012581(gi:26247466) (sitC) SitC protein [Iron/managanease transport (CVF459)] [Escherichia coli CFT073]
0.2	VFG012505(gb|NP_753166) (iroD) esterase [Salmochelin (IA013)] [Escherichia coli CFT073]
0.2	VFG046030 (hofC) type IV pilin biogenesis protein [Hemorrhagic E.coli pilus (HCP) (CVF825)] [Escherichia coli CFT073]
0.2	VFG045974 (hofB) protein transport protein HofB-like protein [Hemorrhagic E.coli pilus (HCP) (CVF825)] [Escherichia coli VR50]
0.2	VFG040953(gi:157154920) (gspF) general secretion pathway protein F [gsp (SS206)] [Escherichia coli E24377A]
0.2	VFG035945(gi:91213116) (upaG/ehaG) autotransport adhesin [UpaG adhesin, trimeric AT (CVF740)] [Escherichia coli UTI89]
0.2	VFG035856(gi:110640449) (aec14) hypothetical protein [ACE T6SS (CVF736)] [Escherichia coli 536]
0.2	VFG035511(gi:117622503) (aec29) hypothetical protein [AEC (SS184)] [Escherichia coli APEC O1]
0.2	VFG035122(gi:110642957) (ECP_2802) hypothetical protein [SCI-I T6SS (CVF734)] [Escherichia coli 536]
0.2	VFG034311(gi:218707132) (chuW) coproporphyrinogen III oxidase [Hemin uptake (CVF460)] [Escherichia coli O17:K52:H18 str. UMN026]
0.2	VFG033987(gi:386640481) (iucB) aerobactin siderophore biosynthesis protein IucB [Aerobactin siderophore (CVF457)] [Escherichia coli ABU 83972]
0.2	VFG033935(gi:386598813) (iroB) IroB protein [Salmochelin siderophore (CVF456)] [Escherichia coli O18:K1:H7 str. IHE3034]
0.2	VFG033908(gi:386638506) (iroN) TonB dependent outer membrane siderophore receptor IroN [Salmochelin siderophore (CVF456)] [Escherichia coli ABU 83972]
0.2	VFG033215(gi:386622102) (fimA) Putative type 1 fimbriae major subunit FimA [Type I fimbriae (CVF426)] [Escherichia coli NA114]
0.2	VFG018198(gi:16128278) (ecpA) conserved protein [E. coli common pilus (ECP) (CVF625)] [Escherichia coli str. K-12 substr. MG1655]
0.2	VFG012590(gi:88770311) (sitD) SitD [Iron/managanease transport (CVF459)] [Escherichia coli APEC O1]
0.2	VFG012573(gi:91210366) (sitA) putative iron transport protein, periplasmic-binding protein SitA [Iron/managanease transport (CVF459)] [Escherichia coli UTI89]
0.2	VFG012263(gi:16132133) (fimB) tyrosine recombinase/inversion of on/off regulator of fimA [Type I fimbriae (CVF426)] [Escherichia coli str. K-12 substr. MG1655]
0.2	VFG000875(gb|NP_757243) (fimC) Chaperone protein fimC precursor [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073]
0.1	VFG045878 (elfD) putative fimbrial chaperone protein ElfD [E.coli laminin-binding fimbriae (ELF) (CVF824)] [Escherichia coli VR50]
0.1	VFG043802(gi:4757385) (bft-1) metalloprotease [BFT (B. fragilis toxin), subtype 1 (TX172)] [Bacteroides fragilis str. GAI20269]
0.1	VFG042092(gi:15832970) (eprK) EprK [ETT2 (SS017)] [Escherichia coli O157:H7 str. Sakai]
0.1	VFG036074(gi:117622396) (usp) uropathogenic specific protein [Colicin-like Usp (CVF754)] [Escherichia coli APEC O1]
0.1	VFG035601(gi:387605693) (aec26) putative type VI secretion system protein [ACE T6SS (CVF736)] [Escherichia coli O44:H18 042]
0.1	VFG035575(gi:387605692) (aec27/clpV) putative type VI secretion system protein [ACE T6SS (CVF736)] [Escherichia coli O44:H18 042]
0.1	VFG035296(gi:26249236) (c3401) hypothetical protein [SCI-I T6SS (CVF734)] [Escherichia coli CFT073]
0.1	VFG035254(gi:117625056) (APECO1_3702) hypothetical protein [SCI-I T6SS (CVF734)] [Escherichia coli APEC O1]
0.1	VFG035123(gi:117625043) (APECO1_3716) hypothetical protein [SCI-I T6SS (CVF734)] [Escherichia coli APEC O1]
0.1	VFG034717(gi:218707582) (ibeC) hypothetical protein [Invasion of brain endothelial cells (Ibes) (CVF429)] [Escherichia coli O17:K52:H18 str. UMN026]
0.1	VFG034692(gi:91213503) (ibeC) hypothetical protein [Invasion of brain endothelial cells (Ibes) (CVF429)] [Escherichia coli UTI89]
0.1	VFG034686(gi:161486035) (ibeC) hypothetical protein [Invasion of brain endothelial cells (Ibes) (CVF429)] [Escherichia coli CFT073]
0.1	VFG034655(gi:117622795) (ibeB) copper/silver efflux system outer membrane protein CusC [Invasion of brain endothelial cells (Ibes) (CVF429)] [Escherichia coli APEC O1]
0.1	VFG034611(gi:218701868) (cfaA) putative fimbrial protein [CFA/I fimbriae (CVF684)] [Escherichia coli O7:K1 str. IAI39]
0.1	VFG034429(gi:215485399) (ecpB) chaperone [E. coli common pilus (ECP) (CVF625)] [Escherichia coli O127:H6 str. E2348/69]
0.1	VFG034365(gi:218707135) (chuU) putative hemin transport system permease [Hemin uptake (CVF460)] [Escherichia coli O17:K52:H18 str. UMN026]
0.1	VFG034198(gi:386618823) (sitA) Iron ABC transporter substrate binding component [Iron/managanease transport (CVF459)] [Escherichia coli NA114]
0.1	VFG033818(gi:222155089) (vat) Haemoglobin protease [Vacuolating autotransporter gene (CVF445)] [Escherichia coli O83:H1 str. LF82]
0.1	VFG033817(gi:386605757) (vat) Vacuolating autotransporter toxin [Vacuolating autotransporter gene (CVF445)] [Escherichia coli UM146]
0.1	VFG018230(gi:91209351) (ecpE) hypothetical protein YagV precursor [E. coli common pilus (ECP) (CVF625)] [Escherichia coli UTI89]
0.1	VFG012613(gi:91213008) (chuW) putative oxygen independent coproporphyrinogen III oxidase [Hemin uptake (CVF460)] [Escherichia coli UTI89]
0.1	VFG012575(gi:88770314) (sitA) SitA [Iron/managanease transport (CVF459)] [Escherichia coli APEC O1]
0.1	VFG012543(gi:26248275) (ybtA) Putataive AraC type regulator [yersiniabactin (IA006)] [Escherichia coli CFT073]
0.1	VFG012351(gi:91213983) (ibeA) invasion protein IbeA [Invasion of brain endothelial cells (Ibes) (CVF429)] [Escherichia coli UTI89]
0.1	VFG012305(gi:16132139) (fimF) minor component of type 1 fimbriae [Type I fimbriae (CVF426)] [Escherichia coli str. K-12 substr. MG1655]
0.1	VFG001446(gb|YP_540124) (sfaA) S-fimbrial major subunit SfaA [S fimbriae (VF0222)] [Escherichia coli UTI89]
0.1	VFG000915(gb|NP_753159) (focH) F1C Putative fimbrial adhesin precursor [F1C fimbriae (VF0224)] [Escherichia coli CFT073]
0.1	VFG046032 (hofC) type IV pilin biogenesis protein [Hemorrhagic E.coli pilus (HCP) (CVF825)] [Escherichia coli UTI89]
0.1	VFG046029 (hofC) protein transport protein HofC [Hemorrhagic E.coli pilus (HCP) (CVF825)] [Escherichia coli O44:H18 042]
0.1	VFG046004 (hofB) GspE family protein HofB [Hemorrhagic E.coli pilus (HCP) (CVF825)] [Escherichia coli O18:K1:H7 str. IHE3034]
0.1	VFG045900 (elfC) putative outer membrane usher protein ElfC [E.coli laminin-binding fimbriae (ELF) (CVF824)] [Escherichia coli VR50]
0.1	VFG045865 (ycbQ) fimbrial-like adhesin protein [E.coli laminin-binding fimbriae (ELF) (CVF824)] [Escherichia coli O103:H2 str. 12009]
0.1	VFG043982(gi:1124900) (cka) colicin K [colicin K (TX385)] [Escherichia coli str. K49]
0.1	VFG040954(gi:157159001) (gspE) general secretory pathway protein E [gsp (SS206)] [Escherichia coli E24377A]
0.1	VFG035730(gi:218557164) (ECS88_0243) hypothetical protein [ACE T6SS (CVF736)] [Escherichia coli O45:K1:H7 str. S88]
0.1	VFG035714(gi:91209296) (UTI89_C0248) hypothetical protein [ACE T6SS (CVF736)] [Escherichia coli UTI89]
0.1	VFG035626(gi:387605694) (aec25) putative type VI secretion system protein [ACE T6SS (CVF736)] [Escherichia coli O44:H18 042]
0.1	VFG035604(gi:386612384) (aec26) hypothetical protein [ACE T6SS (CVF736)] [Escherichia coli UMNK88]
0.1	VFG035579(gi:218557158) (aec27/clpV) ATP-dependent Clp proteinase Aec27 ATP-binding chain, with chaperone activity [ACE T6SS (CVF736)] [Escherichia coli O45:K1:H7 str. S88]
0.1	VFG035561(gi:117622505) (aec27/clpV) ATPase [AEC (SS184)] [Escherichia coli APEC O1]
0.1	VFG035552(gi:386612382) (aec28) hypothetical protein [ACE T6SS (CVF736)] [Escherichia coli UMNK88]
0.1	VFG035298(gi:117625062) (APECO1_3696) hypothetical protein [SCI-I T6SS (CVF734)] [Escherichia coli APEC O1]
0.1	VFG035291(gi:218559820) (ECS88_3103) hypothetical protein [SCI-I T6SS (CVF734)] [Escherichia coli O45:K1:H7 str. S88]
0.1	VFG035156(gi:91212188) (UTI89_C3194) hypothetical protein [SCI-I T6SS (CVF734)] [Escherichia coli UTI89]
